episode,reward,avg50,steps,done_reason,epsilon,loss
473,69.640,339.618,416,collision,0.0361,8.00371
474,47.043,321.294,1952,stuck,0.0358,13.02851
475,559.728,339.858,2275,collision,0.0356,11.82480
476,582.424,346.357,2112,collision,0.0353,23.78564
477,-49.927,344.035,600,stuck,0.0351,8.66312
478,957.602,360.923,4341,stuck,0.0348,18.65061
479,137.426,347.956,1350,stuck,0.0346,26.31628
480,196.009,344.241,1335,stuck,0.0343,14.66227
481,-235.180,336.157,3293,stuck,0.0341,9.30345
482,588.945,341.239,2768,goal,0.0338,11.68252
483,786.443,352.502,2331,goal,0.0336,13.38586
484,363.618,355.863,1182,rollover,0.0334,11.59171
485,156.114,336.286,1323,stuck,0.0331,16.76015
486,126.930,342.889,4350,stuck,0.0329,16.58020
487,344.965,350.496,649,goal,0.0327,10.19759
488,1105.646,354.695,4000,stuck,0.0325,13.96951
489,1504.787,372.341,4955,collision,0.0322,15.16566
490,942.059,370.223,5026,stuck,0.0320,15.41036
491,447.301,389.703,858,goal,0.0318,11.54416
492,301.252,385.361,1050,rollover,0.0316,11.35897
493,-2177.869,339.271,1918,stuck,0.0313,22.33497
494,302.864,333.178,493,goal,0.0311,9.86814
495,227.482,337.929,2862,stuck,0.0309,14.18103
496,30.238,323.753,171,collision,0.0307,55.36628
497,923.524,329.842,3602,goal,0.0305,14.05132
498,651.456,337.196,2660,stuck,0.0303,11.71425
499,1346.303,364.002,3337,goal,0.0300,18.01446
500,726.094,387.088,1823,goal,0.0298,15.37179
501,1771.395,405.938,4900,goal,0.0296,23.59936
502,8.190,400.772,229,collision,0.0294,11.56202
503,-742.228,387.168,857,collision,0.0292,10.82433
504,728.489,396.424,3879,stuck,0.0290,10.15306
505,-55.315,391.400,600,stuck,0.0288,10.44154
506,-5.706,384.855,860,stuck,0.0286,17.94616
507,635.187,395.471,1690,goal,0.0284,14.22330
508,-0.352,391.774,6116,stuck,0.0282,10.86525
509,359.215,383.098,578,goal,0.0280,7.25865
