episode,reward,avg50,steps,done_reason,epsilon,loss
399,1327.672,681.792,3239,goal,0.0606,6.95459
400,743.655,704.040,1503,goal,0.0602,7.18630
401,-1839.769,670.031,1744,goal,0.0598,8.19380
402,-73.048,660.064,600,stuck,0.0594,9.74985
403,-3.275,650.122,771,stuck,0.0590,9.08050
404,774.282,641.087,1603,goal,0.0585,11.98498
405,608.215,654.563,1143,goal,0.0581,8.01517
406,539.358,666.665,998,goal,0.0577,8.91726
407,695.608,652.237,1362,goal,0.0573,7.89147
408,29.192,629.450,216,collision,0.0569,9.53099
409,843.107,637.778,2708,collision,0.0565,8.00646
410,-64.953,621.957,600,stuck,0.0561,7.34087
411,302.337,619.239,336,goal,0.0557,11.98317
412,806.897,627.697,1761,goal,0.0553,9.73493
413,1028.451,625.196,2189,goal,0.0550,9.48511
414,1152.052,631.897,2587,goal,0.0546,8.87560
415,1212.239,647.868,2710,goal,0.0542,9.65994
416,408.325,652.769,840,goal,0.0538,6.76338
417,554.971,649.752,1201,goal,0.0534,7.90756
418,379.900,635.833,2877,stuck,0.0531,8.38287
419,294.741,613.187,1563,stuck,0.0527,7.27907
420,709.320,609.001,1465,goal,0.0523,8.20983
421,1075.456,624.926,2637,goal,0.0520,8.37638
422,878.405,624.126,1908,goal,0.0516,9.64459
423,284.631,623.931,1130,collision,0.0512,6.97495
424,153.971,621.691,890,collision,0.0509,13.61416
425,445.455,597.588,968,goal,0.0505,8.04585
426,104.860,590.832,974,collision,0.0502,11.81783
427,302.429,576.369,397,goal,0.0498,12.28685
428,918.019,590.870,2022,goal,0.0495,7.39917
429,-396.401,580.176,2694,stuck,0.0491,11.00516
430,1072.856,574.000,4175,stuck,0.0488,7.04813
431,178.456,546.975,1531,stuck,0.0484,10.75508
432,700.427,533.713,1453,goal,0.0481,10.46223
433,1085.377,555.557,2336,goal,0.0478,6.80845
434,191.077,541.562,644,collision,0.0474,9.14049
435,1574.379,550.036,3824,goal,0.0471,7.47268
436,426.016,553.424,2243,stuck,0.0468,7.84907
437,869.145,557.479,1910,goal,0.0464,6.72639
438,486.140,567.541,2266,stuck,0.0461,7.25125
439,523.277,571.549,2198,stuck,0.0458,8.30476
440,312.629,560.203,334,goal,0.0455,7.32982
441,1017.808,562.141,2411,goal,0.0451,9.44276
442,657.691,572.583,1356,goal,0.0448,8.94358
443,657.939,554.162,1285,goal,0.0445,5.63018
444,488.590,556.770,2728,collision,0.0442,8.96158
445,955.905,562.873,2034,goal,0.0439,7.91621
446,4.353,545.987,458,collision,0.0436,11.10946
447,394.807,534.599,761,goal,0.0433,10.35143
448,394.835,523.756,628,goal,0.0430,9.87951
449,476.884,506.740,816,goal,0.0427,9.85931
450,1270.020,517.268,3372,goal,0.0424,8.87869
451,456.593,563.195,2503,goal,0.0421,7.85113
452,-58.721,563.481,600,stuck,0.0418,8.06962
453,926.807,582.083,2392,goal,0.0415,9.27533
454,507.130,576.740,940,goal,0.0412,8.64124
455,1535.114,595.278,3662,goal,0.0409,8.53573
456,338.821,591.267,398,goal,0.0406,8.08664
457,-70.391,575.947,494,collision,0.0403,8.00701
458,147.595,578.315,1111,stuck,0.0401,9.33207
459,193.065,565.315,913,collision,0.0398,11.89132
460,1037.465,587.363,2844,goal,0.0395,10.08630
461,268.385,586.684,284,goal,0.0392,5.94587
462,1378.320,598.112,3390,goal,0.0390,8.43632
463,18.259,577.909,128,collision,0.0387,8.85523
464,559.944,566.066,1679,collision,0.0384,7.20718
465,1508.255,571.987,3809,goal,0.0381,8.82038
466,897.699,581.774,1985,goal,0.0379,6.04176
467,176.842,574.212,649,collision,0.0376,6.35558
468,577.572,578.165,2039,collision,0.0373,7.10392
469,1501.585,602.302,3766,goal,0.0371,9.11498
470,777.581,603.667,1620,goal,0.0368,6.47825
471,747.933,597.117,1519,goal,0.0366,6.63407
472,720.398,593.957,2119,collision,0.0363,7.29240
473,612.307,600.510,1911,collision,0.0361,8.79259
474,984.362,617.118,2201,goal,0.0358,9.74136
475,481.061,617.830,783,goal,0.0356,7.43605
476,751.167,630.756,1584,goal,0.0353,7.76892
477,96.067,626.629,699,collision,0.0351,9.21103
478,895.191,626.172,1956,goal,0.0348,11.13226
479,136.239,636.825,714,collision,0.0346,7.53414
480,1227.457,639.917,3214,goal,0.0343,6.65894
481,1050.860,657.365,2458,goal,0.0341,9.10453
482,971.091,662.778,2631,goal,0.0338,9.02189
483,702.802,655.127,1385,goal,0.0336,9.43349
484,235.648,656.018,868,collision,0.0334,10.05101
485,937.101,643.273,2026,goal,0.0331,9.65653
486,410.232,642.957,1428,collision,0.0329,7.73051
487,737.379,640.322,2398,collision,0.0327,8.69128
488,180.052,634.200,2342,collision,0.0325,6.41722
489,1494.735,653.629,4119,collision,0.0322,7.60119
490,-10.157,647.174,5,collision,0.0320,0.09055
491,440.624,635.630,686,goal,0.0318,8.13439
492,730.792,637.092,1438,goal,0.0316,9.07786
493,49.336,624.920,1869,stuck,0.0313,7.26098
494,1265.198,640.452,3085,goal,0.0311,7.35580
495,-72.754,619.879,823,collision,0.0309,5.84154
496,556.817,630.928,2485,stuck,0.0307,7.09886
497,558.339,634.199,1004,goal,0.0305,8.54252
498,1079.635,647.895,2724,goal,0.0303,8.30950
499,810.803,654.573,1810,goal,0.0300,7.70025
500,984.943,648.872,2338,goal,0.0298,8.98243
501,-18.447,639.371,16,rollover,0.0296,0.12615
502,104.694,642.639,540,collision,0.0294,8.80695
503,808.493,640.273,1687,goal,0.0292,9.18701
504,1059.742,651.325,2500,goal,0.0290,8.75773
505,568.720,631.997,1211,goal,0.0288,8.53303
506,1204.011,649.301,2784,goal,0.0286,10.40808
507,-245.701,645.795,1548,stuck,0.0284,11.66818
508,851.276,659.868,2979,collision,0.0282,9.50982
509,317.309,662.353,2180,stuck,0.0280,8.18200
510,773.818,657.080,1532,goal,0.0278,9.68058
511,1466.154,681.036,3628,goal,0.0276,7.15766
512,704.419,667.558,1447,goal,0.0274,6.95852
513,523.471,677.662,2507,stuck,0.0272,9.41111
514,1392.193,694.307,3301,goal,0.0270,8.76191
515,1065.637,685.455,2639,goal,0.0268,9.47884
516,854.756,684.596,2406,collision,0.0267,9.69085
517,704.243,695.144,1518,goal,0.0265,7.80883
518,143.329,686.459,498,collision,0.0263,6.59749
519,778.390,671.995,1706,goal,0.0261,7.80401
520,1311.371,682.671,2977,goal,0.0259,8.93244
521,95.481,669.622,376,collision,0.0257,8.53090
522,1207.370,679.361,2756,goal,0.0256,9.70379
523,66.298,668.441,941,collision,0.0254,9.98289
524,121.069,651.175,1470,stuck,0.0252,8.31938
525,307.457,647.703,379,goal,0.0250,6.18304
526,1437.270,661.425,3500,goal,0.0248,8.33165
527,248.325,664.470,2469,stuck,0.0247,7.67866
528,40.570,647.378,360,collision,0.0245,8.83965
529,904.076,662.735,1985,goal,0.0243,6.77018
530,1204.401,662.273,2934,goal,0.0242,7.35603
531,966.827,660.593,2153,goal,0.0240,6.21085
532,105.788,643.287,673,collision,0.0238,6.04676
